year,state,state_po,state_fips,state_cen,state_ic,office,district,candidate,party,candidatevotes,totalvotes
1976,Alabama,AL,1,63,41,US House,1,Bill Davenport,democrat,58906,157170
1976,Alabama,AL,1,63,41,US House,1,Jack Edwards,republican,98257,157170
1976,Alabama,AL,1,63,41,US House,1,NA,NA,7,157170
1976,Alabama,AL,1,63,41,US House,2,J. Carole Keahey,democrat,66288,156362
1976,Alabama,AL,1,63,41,US House,2,NA,NA,5,156362
1976,Alabama,AL,1,63,41,US House,2,"William L. """"Bill"""" Dickinson",republican,90069,156362
1976,Alabama,AL,1,63,41,US House,3,Bill Nichols,democrat,106935,108048
1976,Alabama,AL,1,63,41,US House,3,NA,NA,2,108048
1976,Alabama,AL,1,63,41,US House,3,Ogburn Gardner,prohibition,1111,108048
1976,Alabama,AL,1,63,41,US House,4,Tom Bevill,democrat,141490,176022
1976,Alabama,AL,1,63,41,US House,4,Leonard Wilson,republican,34531,176022
1976,Alabama,AL,1,63,41,US House,4,NA,NA,1,176022
1976,Alabama,AL,1,63,41,US House,5,Ronnie G. Flippo,democrat,113553,113560
1976,Alabama,AL,1,63,41,US House,5,NA,NA,7,113560
1976,Alabama,AL,1,63,41,US House,6,Billy E. Dorsey,national democrat,1021,162518
1976,Alabama,AL,1,63,41,US House,6,Mel Bailey,democrat,69384,162518
1976,Alabama,AL,1,63,41,US House,6,"John H. Buchanan, Jr.",republican,92113,162518
1976,Alabama,AL,1,63,41,US House,7,Walter Flowers,democrat,110496,110501
1976,Alabama,AL,1,63,41,US House,7,NA,NA,5,110501
1976,Alaska,AK,2,94,81,US House,0,Don Young,republican,83722,118208
1976,Alaska,AK,2,94,81,US House,0,NA,NA,292,118208
1976,Alaska,AK,2,94,81,US House,0,Eben Hopson,democrat,34194,118208
1976,Arizona,AZ,4,86,61,US House,1,Harry Braun,independent,1040,168119
1976,Arizona,AZ,4,86,61,US House,1,John J. Rhodes,republican,96397,168119
1976,Arizona,AZ,4,86,61,US House,1,Summer Duncan Dodge,libertarian,2278,168119
1976,Arizona,AZ,4,86,61,US House,1,Patricia M. Fullinwider,democrat,68404,168119
1976,Arizona,AZ,4,86,61,US House,2,Laird Guttersen,republican,71765,182128
1976,Arizona,AZ,4,86,61,US House,2,Michael Emerling,libertarian,4309,182128
1976,Arizona,AZ,4,86,61,US House,2,Morris K. Udall,democrat,106054,182128
1976,Arizona,AZ,4,86,61,US House,3,Bill McCune,independent,19149,187165
1976,Arizona,AZ,4,86,61,US House,3,Bob Stump,democrat,88854,187165
1976,Arizona,AZ,4,86,61,US House,3,"Fred Koory, Jr.",republican,79162,187165
1976,Arizona,AZ,4,86,61,US House,4,Pat Harper,libertarian,6001,191590
1976,Arizona,AZ,4,86,61,US House,4,Eldon Rudd,republican,93154,191590
1976,Arizona,AZ,4,86,61,US House,4,Tony Mason,democrat,92435,191590
1976,Arkansas,AR,5,71,42,US House,1,"Harlan """"Bo"""" Holleman",republican,52565,168782
1976,Arkansas,AR,5,71,42,US House,1,Bill Alexander,democrat,116217,168782
1976,Arkansas,AR,5,71,42,US House,2,Jim Guy Tucker,democrat,144780,167607
1976,Arkansas,AR,5,71,42,US House,2,NA,NA,8,167607
1976,Arkansas,AR,5,71,42,US House,2,James J. Kelly,republican,22819,167607
1976,Arkansas,AR,5,71,42,US House,3,John Paul Hammerschmidt,republican,1,1
1976,Arkansas,AR,5,71,42,US House,4,Ray Thornton,democrat,1,1
1976,California,CA,6,93,71,US House,1,James E. Taylor,republican,56539,217016
1976,California,CA,6,93,71,US House,1,Harold T. (Bizz) Johnson,democrat,160477,217016
1976,California,CA,6,93,71,US House,2,Robert B. Allred,peace and freedom,6444,216563
1976,California,CA,6,93,71,US House,2,Oscar Klee,democrat,88829,216563
1976,California,CA,6,93,71,US House,2,Don H. Clausen,republican,121290,216563
1976,California,CA,6,93,71,US House,3,"George R. Marsh, Jr.",republican,52075,191854
1976,California,CA,6,93,71,US House,3,John E. Moss,democrat,139779,191854
1976,California,CA,6,93,71,US House,4,Albert Dehr,republican,75193,151037
1976,California,CA,6,93,71,US House,4,Robert L. Leggett,democrat,75844,151037
1976,California,CA,6,93,71,US House,5,Branwell Fanning,republican,64008,167754
1976,California,CA,6,93,71,US House,5,John L. Burton,democrat,103746,167754
1976,California,CA,6,93,71,US House,6,Raymond O. Heaps,american independent,2494,130916
1976,California,CA,6,93,71,US House,6,Tom Spinosa,republican,35359,130916
1976,California,CA,6,93,71,US House,6,Emily Siegel,peace and freedom,6570,130916
1976,California,CA,6,93,71,US House,6,Phillip Burton,democrat,86493,130916
1976,California,CA,6,93,71,US House,7,Robert L. Vickers,republican,45863,196816
1976,California,CA,6,93,71,US House,7,George Miller,democrat,147064,196816
1976,California,CA,6,93,71,US House,7,Melvin E. Stanley,american independent,3889,196816
1976,California,CA,6,93,71,US House,8,Robert J. Evans,peace and freedom,6238,196954
1976,California,CA,6,93,71,US House,8,"Philip Stiles Breck, Jr.",republican,68374,196954
1976,California,CA,6,93,71,US House,8,Ronald V. Dellums,democrat,122342,196954
1976,California,CA,6,93,71,US House,9,Fortney H. (Pete) Stark,democrat,116398,164391
1976,California,CA,6,93,71,US House,9,James K. Mills,republican,44607,164391
1976,California,CA,6,93,71,US House,9,Albert L. Sargis,peace and freedom,3386,164391
1976,California,CA,6,93,71,US House,10,Herb Smith,republican,38088,155443
1976,California,CA,6,93,71,US House,10,Edmon V. Kaiser,american independent,5363,155443
1976,California,CA,6,93,71,US House,10,Don Edwards,democrat,111992,155443
1976,California,CA,6,93,71,US House,11,Leo J. Ryan,democrat,107618,176194
1976,California,CA,6,93,71,US House,11,Nicholas W. Kudrovzeff,american independent,6141,176194
1976,California,CA,6,93,71,US House,11,Bob Jones,republican,62435,176194
1976,California,CA,6,93,71,US House,12,David Harris,democrat,61526,196857
1976,California,CA,6,93,71,US House,12,Joseph David Cooney,american independent,4999,196857
1976,California,CA,6,93,71,US House,12,"Paul N. """"Pete"""" McCloskey, Jr.",republican,130332,196857
1976,California,CA,6,93,71,US House,13,Ernest L. Konnyu,republican,63130,202611
1976,California,CA,6,93,71,US House,13,William P. Herrell,american independent,4190,202611
1976,California,CA,6,93,71,US House,13,Norman Y. Mineta,democrat,135291,202611
1976,California,CA,6,93,71,US House,14,John J. McFall,democrat,123285,169959
1976,California,CA,6,93,71,US House,14,Roger A. Blain,republican,46674,169959
1976,California,CA,6,93,71,US House,15,B. F. Sisk,democrat,92735,128435
1976,California,CA,6,93,71,US House,15,Carol Harner,republican,35700,128435
1976,California,CA,6,93,71,US House,16,Burt Talcott,republican,91160,195705
1976,California,CA,6,93,71,US House,16,Leon E. Panetta,democrat,104545,195705
1976,California,CA,6,93,71,US House,17,John Krebs,democrat,103898,158168
1976,California,CA,6,93,71,US House,17,Henry J. Andreas,republican,54270,158168
1976,California,CA,6,93,71,US House,18,Dean Close,democrat,56683,158341
1976,California,CA,6,93,71,US House,18,William M. Ketchum,republican,101658,158341
1976,California,CA,6,93,71,US House,19,Dan Sisson,democrat,68722,192923
1976,California,CA,6,93,71,US House,19,Robert J. Lagomarsino,republican,124201,192923
1976,California,CA,6,93,71,US House,20,"Barry Goldwater, Jr.",republican,146158,217351
1976,California,CA,6,93,71,US House,20,Patti Lear Corman,democrat,71193,217351
1976,California,CA,6,93,71,US House,21,James C. Corman,democrat,101837,153109
1976,California,CA,6,93,71,US House,21,Bill Hill,peace and freedom,7178,153109
1976,California,CA,6,93,71,US House,21,"Erwin """"Ed"""" Hogan",republican,44094,153109
1976,California,CA,6,93,71,US House,22,Carlos J. Moorhead,republican,114769,183312
1976,California,CA,6,93,71,US House,22,Robert L. Salley,democrat,68543,183312
1976,California,CA,6,93,71,US House,23,Thomas F. Bartman,republican,86434,217053
1976,California,CA,6,93,71,US House,23,Anthony C. Beilenson,democrat,130619,217053
1976,California,CA,6,93,71,US House,24,David Irving Simmons,republican,51478,159774
1976,California,CA,6,93,71,US House,24,Heny A. Waxman,democrat,108296,159774
1976,California,CA,6,93,71,US House,25,Jim Madrid,republican,17737,80625
1976,California,CA,6,93,71,US House,25,Marilyn Seals,peace and freedom,4922,80625
1976,California,CA,6,93,71,US House,25,Edward R. Roybal,democrat,57966,80625
1976,California,CA,6,93,71,US House,26,John H. Rousselot,republican,112619,171712
1976,California,CA,6,93,71,US House,26,Bruce Latta,democrat,59093,171712
1976,California,CA,6,93,71,US House,27,Gary Familian,democrat,94988,209611
1976,California,CA,6,93,71,US House,27,Robert K. Dornan,republican,114623,209611
1976,California,CA,6,93,71,US House,28,Edward S. Skinner,republican,28303,142915
1976,California,CA,6,93,71,US House,28,Yvonne Brathwaite Burke,democrat,114612,142915
1976,California,CA,6,93,71,US House,29,Sheila Leburg,independent,3235,96602
1976,California,CA,6,93,71,US House,29,Michael D. Germonprez,republican,10852,96602
1976,California,CA,6,93,71,US House,29,"Augustus F. """"Gus"""" Hawkins",democrat,82515,96602
1976,California,CA,6,93,71,US House,30,Harry Couch,republican,28503,111270
1976,California,CA,6,93,71,US House,30,Georg E. Danielson,democrat,82767,111270
1976,California,CA,6,93,71,US House,31,Charles II. Wilson,democrat,83155,83155
1976,California,CA,6,93,71,US House,32,Clifford O. Young,republican,35394,127428
1976,California,CA,6,93,71,US House,32,Glenn M. Anderson,democrat,92034,127428
1976,California,CA,6,93,71,US House,33,Del Clawson,republican,95398,173205
1976,California,CA,6,93,71,US House,33,Ted Snyder,democrat,77807,173205
1976,California,CA,6,93,71,US House,34,Daniel E. Lungren,republican,98147,199135
1976,California,CA,6,93,71,US House,34,Mark W. Hannaford,democrat,100988,199135
1976,California,CA,6,93,71,US House,35,Jim Lloyd,democrat,87472,164237
1976,California,CA,6,93,71,US House,35,Louis Brutocao,republican,76765,164237
1976,California,CA,6,93,71,US House,36,"George E. Brown, Jr.",democrat,90830,147556
1976,California,CA,6,93,71,US House,36,William Pasley,american independent,7358,147556
1976,California,CA,6,93,71,US House,36,Grant Carner,republican,49368,147556
1976,California,CA,6,93,71,US House,37,Bernard Wahl,american independent,5352,188007
1976,California,CA,6,93,71,US House,37,"Douglas C. Nilson, Jr.",democrat,49021,188007
1976,California,CA,6,93,71,US House,37,Shirley N. Pettis,republican,133634,188007
1976,California,CA,6,93,71,US House,38,James (Jim) Combs,republican,59092,162409
1976,California,CA,6,93,71,US House,38,Jerry Patterson,democrat,103317,162409
1976,California,CA,6,93,71,US House,39,"William E. """"Bill"""" Farris",democrat,86745,209402
1976,California,CA,6,93,71,US House,39,Charles E. Wiggins,republican,122657,209402
1976,California,CA,6,93,71,US House,40,Vivian Hall,democrat,102132,250644
1976,California,CA,6,93,71,US House,40,Robert E. Badham,republican,148512,250644
1976,California,CA,6,93,71,US House,41,Bob C. Wilson,republican,128784,223374
1976,California,CA,6,93,71,US House,41,"King Golden, Jr.",democrat,94590,223374
1976,California,CA,6,93,71,US House,42,Wes Marden,republican,32565,135627
1976,California,CA,6,93,71,US House,42,Lionel Van Deerlin,democrat,103062,135627
1976,California,CA,6,93,71,US House,43,Clair W. Burgener,republican,173576,267051
1976,California,CA,6,93,71,US House,43,Pat Kelly,democrat,93475,267051
1976,Colorado,CO,8,84,62,US House,1,Lann Meyers,u.s. labor,508,193610
1976,Colorado,CO,8,84,62,US House,1,Don Friedman,republican,89384,193610
1976,Colorado,CO,8,84,62,US House,1,Patricia Schroeder,democrat,103037,193610
1976,Colorado,CO,8,84,62,US House,1,Priscilla Schenk,socialist workers,681,193610
1976,Colorado,CO,8,84,62,US House,2,Ed Scott,republican,118938,240278
1976,Colorado,CO,8,84,62,US House,2,Timothy E. Wirth,democrat,121340,240278
1976,Colorado,CO,8,84,62,US House,3,Henry John Olshaw,american,1186,175232
1976,Colorado,CO,8,84,62,US House,3,Melvin H. Takaki,republican,82315,175232
1976,Colorado,CO,8,84,62,US House,3,Alfredo Archer,la raza unida,2429,175232
1976,Colorado,CO,8,84,62,US House,3,Frank E. Evans,democrat,89302,175232
1976,Colorado,CO,8,84,62,US House,4,Dick Davis,independent,20398,221018
1976,Colorado,CO,8,84,62,US House,4,James P. (Jim) Johnson,republican,119458,221018
1976,Colorado,CO,8,84,62,US House,4,"Henry Thiel, Jr.",independent,4167,221018
1976,Colorado,CO,8,84,62,US House,4,"Daniel M. Ogden, Jr.",democrat,76995,221018
1976,Colorado,CO,8,84,62,US House,5,Dorothy Hores,democrat,64067,190851
1976,Colorado,CO,8,84,62,US House,5,William L. Armstrong,republican,126784,190851
1976,Connecticut,CT,9,16,1,US House,1,Charlie A. Burke,american independent,1326,225076
1976,Connecticut,CT,9,16,1,US House,1,scatter,,55,225076
1976,Connecticut,CT,9,16,1,US House,1,William R. Cotter,democrat,128479,225076
1976,Connecticut,CT,9,16,1,US House,1,Donna C. McDonough,u.s. labor,1110,225076
1976,Connecticut,CT,9,16,1,US House,1,"Lucien P. Di Fazio, Jr.",republican,94106,225076
1976,Connecticut,CT,9,16,1,US House,2,scatter,,24,219308
1976,Connecticut,CT,9,16,1,US House,2,Christopher J. Dodd,democrat,142684,219308
1976,Connecticut,CT,9,16,1,US House,2,Richard M. Jackson,republican,74743,219308
1976,Connecticut,CT,9,16,1,US House,2,Anthony Discepolo,indpendent,1857,219308
1976,Connecticut,CT,9,16,1,US House,3,Robert G. Cossette,american independent,1339,222643
1976,Connecticut,CT,9,16,1,US House,3,Joelle R. Fishman,communist,2947,222643
1976,Connecticut,CT,9,16,1,US House,3,scatter,,20,222643
1976,Connecticut,CT,9,16,1,US House,3,John G. Pucciano,republican,96714,222643
1976,Connecticut,CT,9,16,1,US House,3,Robert N. Giaimo,democrat,121623,222643
1976,Connecticut,CT,9,16,1,US House,4,Geoffrey G. Peterson,democrat,76722,207058
1976,Connecticut,CT,9,16,1,US House,4,Zoltan Toth Solymossy,conservative,679,207058
1976,Connecticut,CT,9,16,1,US House,4,Stewart B. McKinney,republican,126314,207058
1976,Connecticut,CT,9,16,1,US House,4,Richard H. G. Cunningham,american independent,3318,207058
1976,Connecticut,CT,9,16,1,US House,4,scatter,,25,207058
1976,Connecticut,CT,9,16,1,US House,5,scatter,,27,236087
1976,Connecticut,CT,9,16,1,US House,5,Michael J. Adanti,democrat,77308,236087
1976,Connecticut,CT,9,16,1,US House,5,Ronald A. Sarasin,republican,157009,236087
1976,Connecticut,CT,9,16,1,US House,5,"William Kozak, Jr.",american independent,1743,236087
1976,Connecticut,CT,9,16,1,US House,6,scatter,,18,238300
1976,Connecticut,CT,9,16,1,US House,6,Anthony Toby Moffett,democrat,134914,238300
1976,Connecticut,CT,9,16,1,US House,6,Louis J. Marietta,independent,1004,238300
1976,Connecticut,CT,9,16,1,US House,6,Thomas F. Upson,republican,102364,238300
1976,Delaware,DE,10,51,11,US House,0,Samuel L. Shipley,democrat,102411,215085
1976,Delaware,DE,10,51,11,US House,0,Philip Valenti,u.s. labor,158,215085
1976,Delaware,DE,10,51,11,US House,0,Raymond R. Green,prohibition,693,215085
1976,Delaware,DE,10,51,11,US House,0,"Thomas B. Evans, Jr.",republican,110636,215085
1976,Delaware,DE,10,51,11,US House,0,Robert G. LoPresti,american,840,215085
1976,Delaware,DE,10,51,11,US House,0,"Joseph B. Hollon, Sr.",socialist labor,347,215085
1976,Florida,FL,12,59,43,US House,1,Robert L. F. Sikes,democrat,1,1
1976,Florida,FL,12,59,43,US House,2,Don Fuqua,democrat,1,1
1976,Florida,FL,12,59,43,US House,3,Charles E. Bennett,democrat,1,1
1976,Florida,FL,12,59,43,US House,4,"Bill Chappell, Jr.",democrat,1,1
1976,Florida,FL,12,59,43,US House,5,Jo Ann Saunders,democrat,96260,234631
1976,Florida,FL,12,59,43,US House,5,Richard Kelly,republican,138371,234631
1976,Florida,FL,12,59,43,US House,6,Gabriel Cazares,democrat,80821,232218
1976,Florida,FL,12,59,43,US House,6,NA,NA,26,232218
1976,Florida,FL,12,59,43,US House,6,C. W. Bill Young,republican,151371,232218
1976,Florida,FL,12,59,43,US House,7,Dusty Owens,republican,53599,156338
1976,Florida,FL,12,59,43,US House,7,Sam Gibbons,democrat,102739,156338
1976,Florida,FL,12,59,43,US House,8,Andy Ireland,democrat,103360,178154
1976,Florida,FL,12,59,43,US House,8,Bob Johnson,republican,74794,178154
1976,Florida,FL,12,59,43,US House,9,Joseph A. Rosier,democrat,36630,167139
1976,Florida,FL,12,59,43,US House,9,"Louis Frey, Jr.",republican,130509,167139
1976,Florida,FL,12,59,43,US House,10,L. A. (Skip) Bafalis,republican,164273,247686
1976,Florida,FL,12,59,43,US House,10,Bill Sikes,democrat,83413,247686
1976,Florida,FL,12,59,43,US House,11,Clyde Adams,american,19406,218437
1976,Florida,FL,12,59,43,US House,11,Paul G. Rogers,democrat,199031,218437
1976,Florida,FL,12,59,43,US House,12,J. Herbert Burke,republican,107268,199076
1976,Florida,FL,12,59,43,US House,12,NA,NA,59,199076
1976,Florida,FL,12,59,43,US House,12,Charlie Friedman,democrat,91749,199076
1976,Florida,FL,12,59,43,US House,13,Lee Arnold Spiegelman,republican,35357,163179
1976,Florida,FL,12,59,43,US House,13,William Lehman,democrat,127822,163179
1976,Florida,FL,12,59,43,US House,14,Claude Pepper,democrat,82665,113439
1976,Florida,FL,12,59,43,US House,14,Evelio S. Estrella,republican,30774,113439
1976,Florida,FL,12,59,43,US House,14,NA,NA,0,113439
1976,Florida,FL,12,59,43,US House,15,Paul R. Cobb,republican,50941,172233
1976,Florida,FL,12,59,43,US House,15,Dante B. Fascell,democrat,121292,172233
1976,Georgia,GA,13,58,44,US House,1,Bo Ginn,democrat,73826,73888
1976,Georgia,GA,13,58,44,US House,1,NA,NA,62,73888
1976,Georgia,GA,13,58,44,US House,2,NA,NA,219,96026
1976,Georgia,GA,13,58,44,US House,2,Dawson Mathis,democrat,95807,96026
1976,Georgia,GA,13,58,44,US House,3,NA,NA,1,105004
1976,Georgia,GA,13,58,44,US House,3,Jack Brinkley,democrat,93174,105004
1976,Georgia,GA,13,58,44,US House,3,Steven Dugan,republican,11829,105004
1976,Georgia,GA,13,58,44,US House,4,George T. Warren II,republican,51140,161412
1976,Georgia,GA,13,58,44,US House,4,Elliott H. Levitas,democrat,110261,161412
1976,Georgia,GA,13,58,44,US House,4,NA,NA,11,161412
1976,Georgia,GA,13,58,44,US House,5,NA,NA,9,144063
1976,Georgia,GA,13,58,44,US House,5,Andrew Young,democrat,96056,144063
1976,Georgia,GA,13,58,44,US House,5,Edward W. Gadrix,republican,47998,144063
1976,Georgia,GA,13,58,44,US House,6,Newt Gingrich,republican,72400,149944
1976,Georgia,GA,13,58,44,US House,6,NA,NA,12,149944
1976,Georgia,GA,13,58,44,US House,6,"John J. Flynt, Jr.",democrat,77532,149944
1976,Georgia,GA,13,58,44,US House,7,Quincy Collins,republican,68947,153554
1976,Georgia,GA,13,58,44,US House,7,NA,NA,20,153554
1976,Georgia,GA,13,58,44,US House,7,Larry P. McDonald,democrat,84587,153554
1976,Georgia,GA,13,58,44,US House,8,Bill Lee Evans,democrat,90559,130186
1976,Georgia,GA,13,58,44,US House,8,Billy Adams,republican,39623,130186
1976,Georgia,GA,13,58,44,US House,8,NA,NA,4,130186
1976,Georgia,GA,13,58,44,US House,9,NA,NA,158,143357
1976,Georgia,GA,13,58,44,US House,9,Ed Jenkins,democrat,113245,143357
1976,Georgia,GA,13,58,44,US House,9,Louise Wofford,republican,29954,143357
1976,Georgia,GA,13,58,44,US House,10,Doug Barnard,democrat,94782,94864
1976,Georgia,GA,13,58,44,US House,10,NA,NA,82,94864
1976,Hawaii,HI,15,95,82,US House,1,Frederick Rohlfing,republican,53745,137602
1976,Hawaii,HI,15,95,82,US House,1,Kathy Joyce Hoshijo,independents for godly government,23807,137602
1976,Hawaii,HI,15,95,82,US House,1,Cecil L. Heftel,democrat,60050,137602
1976,Hawaii,HI,15,95,82,US House,2,Dexter L. Cate,people's,2408,156099
1976,Hawaii,HI,15,95,82,US House,2,Bill Penaroza,independents for godly government,3461,156099
1976,Hawaii,HI,15,95,82,US House,2,Daniel K. Akaka,democrat,124116,156099
1976,Hawaii,HI,15,95,82,US House,2,Hank Inouye,republican,23917,156099
1976,Hawaii,HI,15,95,82,US House,2,Don Smith,libertarian,2197,156099
1976,Idaho,ID,16,82,63,US House,1,Ken Pursley,democrat,79662,175495
1976,Idaho,ID,16,82,63,US House,1,Steven D. Symms,republican,95833,175495
1976,Idaho,ID,16,82,63,US House,2,Stan Kress,democrat,82237,166412
1976,Idaho,ID,16,82,63,US House,2,George Hansen,republican,84175,166412
1976,Illinois,IL,17,33,21,US House,1,Debra Simonsen,workers,211,137193
1976,Illinois,IL,17,33,21,US House,1,Ralph H. Metcalfe,democrat,126632,137193
1976,Illinois,IL,17,33,21,US House,1,NA,NA,5,137193
1976,Illinois,IL,17,33,21,US House,1,Andrew C. Pulley,socialist workers,198,137193
1976,Illinois,IL,17,33,21,US House,1,"A. A. Rayner, Jr.",republican,10147,137193
1976,Illinois,IL,17,33,21,US House,2,NA,NA,1,150335
1976,Illinois,IL,17,33,21,US House,2,Morgan F. Murphy,democrat,127297,150335
1976,Illinois,IL,17,33,21,US House,2,Spencer Leak,republican,23037,150335
1976,Illinois,IL,17,33,21,US House,3,Martin A. Russo,democrat,115591,196365
1976,Illinois,IL,17,33,21,US House,3,Frank Collin,white power,1338,196365
1976,Illinois,IL,17,33,21,US House,3,Ronald Buikema,republican,79434,196365
1976,Illinois,IL,17,33,21,US House,3,NA,NA,2,196365
1976,Illinois,IL,17,33,21,US House,4,Edward Derwinski,republican,124847,189772
1976,Illinois,IL,17,33,21,US House,4,NA,NA,1,189772
1976,Illinois,IL,17,33,21,US House,4,Ronald A. Rodger,democrat,64924,189772
1976,Illinois,IL,17,33,21,US House,5,John G. Fary,democrat,119336,155092
1976,Illinois,IL,17,33,21,US House,5,Vincent Krok,republican,35756,155092
1976,Illinois,IL,17,33,21,US House,6,Marilyn D. Clancy,democrat,69359,176027
1976,Illinois,IL,17,33,21,US House,6,HenryJ. Hyde,republican,106667,176027
1976,Illinois,IL,17,33,21,US House,6,NA,NA,1,176027
1976,Illinois,IL,17,33,21,US House,7,Newell Ward,republican,15854,104094
1976,Illinois,IL,17,33,21,US House,7,Cardiss Collins,democrat,88239,104094
1976,Illinois,IL,17,33,21,US House,7,NA,NA,1,104094
1976,Illinois,IL,17,33,21,US House,8,Daniel D. Rostenkowski,democrat,105595,131107
1976,Illinois,IL,17,33,21,US House,8,John F. Urbaszewski,republican,25512,131107
1976,Illinois,IL,17,33,21,US House,9,NA,NA,14,168983
1976,Illinois,IL,17,33,21,US House,9,Sidney R. Yates,democrat,121915,168983
1976,Illinois,IL,17,33,21,US House,9,Thomas J. Wajerski,republican,47054,168983
1976,Illinois,IL,17,33,21,US House,10,Samuel H. Young,republican,106603,213414
1976,Illinois,IL,17,33,21,US House,10,Abner J. Mikva,democrat,106804,213414
1976,Illinois,IL,17,33,21,US House,10,NA,NA,7,213414
1976,Illinois,IL,17,33,21,US House,11,NA,NA,5,201440
1976,Illinois,IL,17,33,21,US House,11,Daniel C. Reber,republican,65680,201440
1976,Illinois,IL,17,33,21,US House,11,Frank Annunzio,democrat,135755,201440
1976,Illinois,IL,17,33,21,US House,12,Edwin L. Frank,democrat,56644,208553
1976,Illinois,IL,17,33,21,US House,12,Philip M. Crane,republican,151899,208553
1976,Illinois,IL,17,33,21,US House,12,NA,NA,10,208553
1976,Illinois,IL,17,33,21,US House,13,Donald G. DesLauriers,independent,4763,164266
1976,Illinois,IL,17,33,21,US House,13,Robert McClory,republican,109726,164266
1976,Illinois,IL,17,33,21,US House,13,James J. Cummings,democrat,49777,164266
1976,Illinois,IL,17,33,21,US House,14,Marie Agnes Fese,democrat,60505,236588
1976,Illinois,IL,17,33,21,US House,14,John Erlenborn,republican,176076,236588
1976,Illinois,IL,17,33,21,US House,14,NA,NA,7,236588
1976,Illinois,IL,17,33,21,US House,15,Tim L. Hall,democrat,87676,190231
1976,Illinois,IL,17,33,21,US House,15,Tom Corcoran,republican,102555,190231
1976,Illinois,IL,17,33,21,US House,16,John B. Anderson,republican,114324,168328
1976,Illinois,IL,17,33,21,US House,16,Stephen Eytalis,democrat,54002,168328
1976,Illinois,IL,17,33,21,US House,16,NA,NA,2,168328
1976,Illinois,IL,17,33,21,US House,17,Merlin Karlock,democrat,81220,194365
1976,Illinois,IL,17,33,21,US House,17,George M. O'Brien,republican,113145,194365
1976,Illinois,IL,17,33,21,US House,18,Robert H. Michel,republican,108028,187130
1976,Illinois,IL,17,33,21,US House,18,Matthew Ryan,democrat,79102,187130
1976,Illinois,IL,17,33,21,US House,19,Tom Railsback,republican,132571,193539
1976,Illinois,IL,17,33,21,US House,19,NA,NA,1,193539
1976,Illinois,IL,17,33,21,US House,19,John Craver,democrat,60967,193539
1976,Illinois,IL,17,33,21,US House,20,Peter Mack,democrat,78634,215857
1976,Illinois,IL,17,33,21,US House,20,Paul Findley,republican,137223,215857
1976,Illinois,IL,17,33,21,US House,21,NA,NA,2,184035
1976,Illinois,IL,17,33,21,US House,21,Edward R. Madigan,republican,137037,184035
1976,Illinois,IL,17,33,21,US House,21,Anna Wall Scott,democrat,46996,184035
1976,Illinois,IL,17,33,21,US House,22,George E. Shipley,democrat,129187,210289
1976,Illinois,IL,17,33,21,US House,22,Ralph Y. McGinnis,republican,81102,210289
1976,Illinois,IL,17,33,21,US House,23,Sam P. Drenovac,republican,34825,162938
1976,Illinois,IL,17,33,21,US House,23,Melvin Price,democrat,128113,162938
1976,Illinois,IL,17,33,21,US House,24,Paul Simon,democrat,152344,226110
1976,Illinois,IL,17,33,21,US House,24,Peter G. Prineas,republican,73766,226110
1976,Indiana,IN,18,32,22,US House,1,"Adam Benjamin, Jr.",democrat,121155,169911
1976,Indiana,IN,18,32,22,US House,1,Robert J. Billings,republican,48756,169911
1976,Indiana,IN,18,32,22,US House,2,Floyd J. Fithian,democrat,117617,214845
1976,Indiana,IN,18,32,22,US House,2,William W. Erwin,republican,95605,214845
1976,Indiana,IN,18,32,22,US House,2,James Hensley Logan,american,1623,214845
1976,Indiana,IN,18,32,22,US House,3,Thomas L. Thorson,republican,77094,178871
1976,Indiana,IN,18,32,22,US House,3,John Brademas,democrat,101777,178871
1976,Indiana,IN,18,32,22,US House,4,J. Edward Roush,democrat,88361,198183
1976,Indiana,IN,18,32,22,US House,4,J. Danforth Quayle,republican,107762,198183
1976,Indiana,IN,18,32,22,US House,4,Gail E. Gran,american,2060,198183
1976,Indiana,IN,18,32,22,US House,5,William C. Stout,democrat,78807,206001
1976,Indiana,IN,18,32,22,US House,5,Elwood Hillis,republican,127194,206001
1976,Indiana,IN,18,32,22,US House,6,David G. Crane,republican,86854,192627
1976,Indiana,IN,18,32,22,US House,6,David W. Evans,democrat,105773,192627
1976,Indiana,IN,18,32,22,US House,7,John E. Tipton,democrat,77355,207360
1976,Indiana,IN,18,32,22,US House,7,John T. Myers,republican,130005,207360
1976,Indiana,IN,18,32,22,US House,8,David L. Cornwell,democrat,109013,216026
1976,Indiana,IN,18,32,22,US House,8,Belden Bell,republican,107013,216026
1976,Indiana,IN,18,32,22,US House,9,Lee H. Hamilton,democrat,136056,136056
1976,Indiana,IN,18,32,22,US House,10,William G. Frazier,republican,76890,191449
1976,Indiana,IN,18,32,22,US House,10,Philip R. Sharp,democrat,114559,191449
1976,Indiana,IN,18,32,22,US House,11,Lawrence L. Buell,republican,74829,191859
1976,Indiana,IN,18,32,22,US House,11,John A. Eineman,american,1135,191859
1976,Indiana,IN,18,32,22,US House,11,"Andrew Jacobs, Jr.",democrat,115895,191859
1976,Iowa,IA,19,42,31,US House,1,Larry D. Smith,american,486,211204
1976,Iowa,IA,19,42,31,US House,1,Edward Mezvinsky,democrat,101024,211204
